"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R32,R36";"R_0603_1608Metric";2;"0R";;;
2;"C43,C41,C50,C48,C40,C51,C44,C16,C42,C39";"C_0402_1005Metric";10;"100n";;;
3;"J1";"RHDR16W82P0X254_1X16_4114X250X865P";1;"61301611821";;;
4;"C45,C46";"C_0805_2012Metric";2;"2u2";;;
5;"R34,R39";"R_0402_1005Metric";2;"10k";;;
6;"XTAL1";"AbraconASDDV";1;"ASDDV-8.000MHZ-LR-T";;;
7;"C47,C49";"C_0603_1608Metric";2;"1u";;;
8;"R21";"R_0402_1005Metric";1;"100k";;;
9;"J2";"22162060";1;"22-16-2060";;;
10;"R33";"R_0603_1608Metric";1;"47R";;;
11;"IC7";"SOT-23-6";1;"USBLC6-2SC6";;;
12;"R38";"R_0402_1005Metric";1;"3k3";;;
13;"J3";"MCR-B-S-RA-SMT-CS5A-NF-TR";1;"MCR-B-S-RA-SMT-CS5A-NF-TR";;;
14;"Q5";"DMN1008UFDF7";1;"DMN1008UFDF-7";;;
15;"IC9";"LQFP-100_14x14mm_P0.5mm";1;"STM32H7A3VIT6";;;
16;"R35";"C_0603_1608Metric";1;"0R";;;
17;"D5";"DIOM5436X265N";1;"SMLVT3V3";;;
18;"IC6";"SOT65P210X110-5N";1;"ESDALC6V1W5";;;
19;"R22";"R_0603_1608Metric";1;"169";;;
20;"C38";"C_0805_2012Metric";1;"4u7";;;
21;"C52";"C_0402_1005Metric";1;"10n";;;
22;"R37";"R_0402_1005Metric";1;"1k69";;;
